{{dist=-1, rng=-1}
{dist=708.08597751478, rng=50115}
{dist=708.08597751478, rng=62663}
{dist=708.08597751478, rng=37344}
{dist=708.08597751478, rng=41555}
{dist=708.08597751478, rng=47266}
{dist=735.64855416573, rng=62607}
{dist=735.64855416573, rng=58945}
{dist=736.86005495186, rng=58434}
{dist=736.86005495186, rng=56824}
{dist=736.86005495186, rng=38956}
{dist=736.86005495186, rng=49509}
{dist=736.86005495186, rng=45118}
{dist=736.86005495186, rng=40299}
{dist=736.86005495186, rng=41969}
{dist=738.7201919561, rng=63643}
{dist=738.7201919561, rng=36145}
{dist=752.92423998066, rng=55086}
{dist=752.92423998066, rng=52747}
{dist=752.92423998066, rng=51412}
{dist=752.92423998066, rng=45905}
{dist=788.10345711756, rng=62207}
{dist=788.10345711756, rng=42151}
{dist=839.33362125282, rng=63949}
{dist=839.33362125282, rng=63491}
{dist=839.33362125282, rng=63471}
{dist=839.33362125282, rng=57472}
{dist=839.33362125282, rng=64027}
{dist=839.33362125282, rng=57640}
{dist=839.33362125282, rng=34978}
{dist=839.33362125282, rng=35367}
{dist=839.33362125282, rng=63235}
{dist=839.33362125282, rng=35127}
{dist=839.33362125282, rng=63423}
{dist=839.33362125282, rng=64143}
{dist=839.33362125282, rng=34467}
{dist=839.33362125282, rng=57674}
{dist=839.33362125282, rng=64678}
{dist=839.33362125282, rng=64645}
{dist=839.33362125282, rng=64565}
{dist=839.33362125282, rng=64785}
{dist=839.33362125282, rng=64912}
{dist=839.33362125282, rng=32805}
{dist=839.33362125282, rng=65176}
{dist=839.33362125282, rng=64185}
{dist=839.33362125282, rng=56734}
{dist=839.33362125282, rng=64204}
{dist=839.33362125282, rng=57180}
{dist=839.33362125282, rng=64189}
{dist=839.33362125282, rng=64412}
{dist=839.33362125282, rng=57070}
{dist=839.33362125282, rng=56830}
{dist=839.33362125282, rng=56905}
{dist=839.33362125282, rng=63202}
{dist=839.33362125282, rng=33287}
{dist=839.33362125282, rng=59756}
{dist=839.33362125282, rng=60350}
{dist=839.33362125282, rng=60323}
{dist=839.33362125282, rng=60161}
{dist=839.33362125282, rng=60456}
{dist=839.33362125282, rng=60740}
{dist=839.33362125282, rng=34161}
{dist=839.33362125282, rng=60787}
{dist=839.33362125282, rng=60836}
{dist=839.33362125282, rng=60152}
{dist=839.33362125282, rng=59183}
{dist=839.33362125282, rng=59909}
{dist=839.33362125282, rng=59589}
{dist=839.33362125282, rng=60080}
{dist=839.33362125282, rng=59539}
{dist=839.33362125282, rng=59285}
{dist=839.33362125282, rng=59458}
{dist=839.33362125282, rng=59259}
{dist=839.33362125282, rng=57693}
{dist=839.33362125282, rng=60918}
{dist=839.33362125282, rng=34742}
{dist=839.33362125282, rng=58072}
{dist=839.33362125282, rng=34895}
{dist=839.33362125282, rng=61961}
{dist=839.33362125282, rng=62419}
{dist=839.33362125282, rng=33389}
{dist=839.33362125282, rng=57793}
{dist=839.33362125282, rng=62526}
{dist=839.33362125282, rng=58848}
{dist=839.33362125282, rng=61886}
{dist=839.33362125282, rng=61731}
{dist=839.33362125282, rng=58691}
{dist=839.33362125282, rng=61385}
{dist=839.33362125282, rng=33547}
{dist=839.33362125282, rng=33850}
{dist=839.33362125282, rng=33756}
{dist=839.33362125282, rng=34766}
{dist=839.33362125282, rng=56529}
{dist=839.33362125282, rng=48883}
{dist=839.33362125282, rng=35671}
{dist=839.33362125282, rng=47869}
{dist=839.33362125282, rng=47745}
{dist=839.33362125282, rng=39852}
